,x,y,z,Vx,Vy,Vz
371,328.01887,-1276.18896,45.09275,26.891,15.143,-9.694
372,328.09765999999996,-1265.9231200000002,44.60225,56.058,39.641,-13.261
373,328.10406,-1238.33832,41.644999999999996,69.251,49.649,-4.137
374,328.11606,-1264.2498,44.20225,57.268,42.136,-5.526
375,328.1595,-1257.09996,43.486000000000004,57.503,41.692,-4.127
376,328.18295,-1271.34945,44.754,43.897,24.739,-7.15
377,328.21873999999997,-1267.44261,44.59575,54.176,35.54,-11.661
378,328.22351000000003,-1237.1261000000002,41.59175,69.487,51.597,-5.261
379,328.23111,-1279.56492,45.379000000000005,11.924,5.453,-15.528
380,328.25291999999996,-1244.0081100000002,41.833999999999996,72.019,52.234,1.01
381,328.27232,-1250.44229,42.720749999999995,69.263,54.784,-1.699
382,328.2884,-1272.36968,44.78025,41.653,23.438,-6.791
383,328.29078999999996,-1275.04599,45.013999999999996,32.786,18.655,-9.239
384,328.30341,-1253.5799399999999,43.196,63.384,51.928,-4.536
385,328.40161,-1259.16478,43.413999999999994,56.286,38.74,1.432
386,328.40718,-1281.07553,45.481500000000004,-0.0,0.0,-17.972
387,328.42959,-1251.5782199999999,42.841,67.514,54.706,-1.77
388,328.44108,-1246.9326999999998,42.364,73.53,54.603,-3.405
389,328.48088,-1268.61922,44.585,52.345,32.183,-9.12
390,328.48459,-1248.36012,42.446,72.901,55.136,-2.551
391,328.53858,-1270.2498899999998,44.633,48.238,27.964,-6.808
392,328.63614,-1249.44079,42.53,71.611,55.224,-1.836
393,328.70191,-1255.3716100000001,43.439249999999994,60.401,46.431,-7.815
394,328.71590000000003,-1262.0761200000002,43.39325,57.569,41.07,5.784
395,328.72819,-1242.7958,41.7825,72.571,51.343,-0.087
396,328.76106,-1273.3826299999998,44.7615,40.74,23.39,-6.576
397,328.89193,-1265.1308999999999,44.24925,58.494,42.002,-6.78
398,328.95155,-1260.33928,43.32325,56.975,38.785,4.322
399,329.02666,-1241.03369,41.775,72.471,50.039,-5.673
400,329.03204999999997,-1276.33799,44.97625,30.657,17.872,-8.159
401,329.04945000000004,-1256.4284499999999,43.4375,59.175,43.162,-7.588
402,329.09878999999995,-1277.5947099999998,45.029250000000005,26.101,14.454,-8.58
403,329.12910999999997,-1269.5291599999998,44.46625,52.323,31.246,-6.623
404,329.15790000000004,-1266.3905300000001,44.372749999999996,58.308,39.701,-9.744
405,329.20743,-1258.51144,43.433499999999995,57.616,38.282,-3.013
406,329.22919,-1239.75999,41.725,72.666,49.397,-7.629
